52 	 # Number of sensors 
# x z 
-1.90 -1.27 
-0.95 -1.13 
0.00 -0.98 
0.94 -0.84 
1.88 -0.69 
2.81 -0.52 
3.75 -0.34 
4.78 -0.17 
5.82 0.00 
6.77 -0.01 
7.72 -0.02 
8.72 -0.06 
9.72 -0.10 
10.72 -0.14 
11.71 -0.17 
12.75 -0.36 
13.78 -0.54 
14.78 -0.51 
15.78 -0.47 
16.78 -0.41 
17.78 -0.35 
18.77 -0.27 
19.77 -0.19 
20.72 -0.27 
21.66 -0.34 
22.71 -0.34 
23.76 -0.33 
24.75 -0.48 
25.74 -0.63 
26.74 -0.67 
27.74 -0.71 
28.74 -0.63 
29.73 -0.55 
30.65 -0.81 
31.56 -1.07 
32.70 -0.91 
33.84 -0.75 
34.84 -0.83 
35.83 -0.91 
36.88 -0.93 
37.93 -0.94 
38.93 -0.98 
39.93 -1.01 
40.93 -0.93 
41.92 -0.84 
42.87 -0.89 
43.82 -0.93 
44.82 -0.99 
45.82 -1.05 
46.87 -1.04 
47.92 -1.03 
48.94 -1.26 
562 	 # Number of measurements 
# s g t err
4 3 0.00100 0.001
4 4 0.00000 0.001
4 5 0.00136 0.001
4 7 0.00590 0.001
4 9 0.00781 0.001
4 11 0.00867 0.001
4 15 0.01035 0.001
4 17 0.00914 0.001
4 19 0.01040 0.001
4 21 0.01408 0.001
4 23 0.01485 0.001
4 25 0.01399 0.001
4 27 0.01408 0.001
4 29 0.01176 0.001
4 31 0.01272 0.001
4 33 0.01412 0.001
4 35 0.01382 0.001
4 37 0.01476 0.001
4 39 0.01563 0.001
4 41 0.01706 0.001
4 43 0.01639 0.001
4 47 0.01623 0.001
4 49 0.01941 0.001
6 3 0.00243 0.001
6 5 0.00110 0.001
6 6 0.00000 0.001
6 7 0.00140 0.001
6 9 0.00645 0.001
6 11 0.00705 0.001
6 13 0.00733 0.001
6 15 0.00880 0.001
6 17 0.00832 0.001
6 19 0.00942 0.001
6 21 0.01236 0.001
6 23 0.01322 0.001
6 25 0.01212 0.001
6 27 0.01255 0.001
6 29 0.01103 0.001
6 31 0.01204 0.001
6 33 0.01226 0.001
6 35 0.01236 0.001
6 37 0.01319 0.001
6 39 0.01413 0.001
6 41 0.01507 0.001
6 43 0.01536 0.001
6 47 0.01586 0.001
6 49 0.01788 0.001
8 3 0.00636 0.001
8 5 0.00465 0.001
8 7 0.00262 0.001
8 8 0.00000 0.001
8 9 0.00150 0.001
8 11 0.00674 0.001
8 13 0.00818 0.001
8 15 0.00937 0.001
8 17 0.00869 0.001
8 19 0.00944 0.001
8 21 0.01303 0.001
8 23 0.01456 0.001
8 25 0.01310 0.001
8 27 0.01330 0.001
8 29 0.01257 0.001
8 31 0.01311 0.001
8 33 0.01369 0.001
8 35 0.01404 0.001
8 37 0.01472 0.001
8 39 0.01573 0.001
8 41 0.01610 0.001
8 43 0.01647 0.001
8 45 0.01671 0.001
8 47 0.01685 0.001
8 49 0.01711 0.001
10 3 0.01065 0.001
10 5 0.00822 0.001
10 7 0.00539 0.001
10 9 0.00169 0.001
10 10 0.00000 0.001
10 11 0.00143 0.001
10 13 0.00441 0.001
10 15 0.00657 0.001
10 17 0.00722 0.001
10 19 0.00805 0.001
10 21 0.01142 0.001
10 23 0.01308 0.001
10 27 0.01217 0.001
10 29 0.01199 0.001
10 31 0.01245 0.001
10 33 0.01268 0.001
10 35 0.01274 0.001
10 37 0.01319 0.001
10 39 0.01428 0.001
10 41 0.01502 0.001
10 43 0.01605 0.001
10 45 0.01674 0.001
10 47 0.01525 0.001
10 49 0.01799 0.001
12 3 0.00869 0.001
12 5 0.00832 0.001
12 7 0.00698 0.001
12 9 0.00747 0.001
12 11 0.00168 0.001
12 12 0.00000 0.001
12 13 0.00327 0.001
12 15 0.00681 0.001
12 17 0.00698 0.001
12 19 0.00747 0.001
12 21 0.01071 0.001
12 23 0.01301 0.001
12 25 0.01187 0.001
12 27 0.01212 0.001
12 29 0.01088 0.001
12 31 0.01180 0.001
12 33 0.01236 0.001
12 35 0.01285 0.001
12 37 0.01359 0.001
12 39 0.01518 0.001
12 41 0.01530 0.001
12 43 0.01530 0.001
12 45 0.01573 0.001
12 47 0.01592 0.001
12 49 0.01779 0.001
14 3 0.00879 0.001
14 5 0.00820 0.001
14 7 0.00747 0.001
14 9 0.00736 0.001
14 11 0.00571 0.001
14 13 0.00310 0.001
14 14 0.00000 0.001
14 15 0.00349 0.001
14 17 0.00571 0.001
14 19 0.00734 0.001
14 21 0.01075 0.001
14 23 0.01236 0.001
14 25 0.01172 0.001
14 27 0.01163 0.001
14 29 0.01066 0.001
14 31 0.01191 0.001
14 33 0.01211 0.001
14 35 0.01200 0.001
14 37 0.01308 0.001
14 39 0.01408 0.001
14 41 0.01511 0.001
14 43 0.01501 0.001
14 47 0.01511 0.001
14 49 0.01715 0.001
16 3 0.01107 0.001
16 5 0.01034 0.001
16 7 0.00971 0.001
16 9 0.00942 0.001
16 11 0.00839 0.001
16 13 0.00620 0.001
16 15 0.00509 0.001
16 16 0.00000 0.001
16 17 0.00432 0.001
16 19 0.00610 0.001
16 21 0.00921 0.001
16 23 0.01136 0.001
16 25 0.01210 0.001
16 27 0.01229 0.001
16 29 0.01076 0.001
16 31 0.01161 0.001
16 33 0.01186 0.001
16 35 0.01212 0.001
16 37 0.01305 0.001
16 39 0.01424 0.001
16 41 0.01500 0.001
16 43 0.01500 0.001
16 45 0.01526 0.001
16 47 0.01509 0.001
16 49 0.01718 0.001
18 3 0.01169 0.001
18 5 0.01086 0.001
18 7 0.01033 0.001
18 9 0.01016 0.001
18 11 0.00901 0.001
18 13 0.00745 0.001
18 15 0.00230 0.001
18 17 0.00079 0.001
18 18 0.00000 0.001
18 19 0.00212 0.001
18 21 0.00344 0.001
18 23 0.01042 0.001
18 25 0.01186 0.001
18 27 0.01211 0.001
18 29 0.01069 0.001
18 31 0.01183 0.001
18 33 0.01272 0.001
18 35 0.01272 0.001
18 37 0.01325 0.001
18 39 0.01457 0.001
18 41 0.01554 0.001
18 43 0.01537 0.001
18 45 0.01519 0.001
18 47 0.01528 0.001
18 49 0.01740 0.001
20 3 0.01354 0.001
20 5 0.01238 0.001
20 7 0.01188 0.001
20 9 0.01175 0.001
20 11 0.01042 0.001
20 13 0.00954 0.001
20 15 0.00954 0.001
20 17 0.00659 0.001
20 19 0.00347 0.001
20 20 0.00000 0.001
20 21 0.00303 0.001
20 23 0.00810 0.001
20 25 0.01184 0.001
20 27 0.01202 0.001
20 29 0.01175 0.001
20 31 0.01238 0.001
20 33 0.01282 0.001
20 35 0.01327 0.001
20 37 0.01398 0.001
20 39 0.01558 0.001
20 41 0.01638 0.001
20 43 0.01611 0.001
20 45 0.01585 0.001
20 47 0.01576 0.001
20 49 0.01825 0.001
22 3 0.01655 0.001
22 5 0.01500 0.001
22 7 0.01439 0.001
22 9 0.01525 0.001
22 11 0.01353 0.001
22 13 0.01267 0.001
22 15 0.01293 0.001
22 17 0.00414 0.001
22 19 0.00319 0.001
22 21 0.00207 0.001
22 22 0.00000 0.001
22 23 0.00241 0.001
22 25 0.00353 0.001
22 27 0.01198 0.001
22 29 0.01077 0.001
22 31 0.01189 0.001
22 33 0.01336 0.001
22 35 0.01465 0.001
22 37 0.01431 0.001
22 39 0.01577 0.001
22 41 0.01681 0.001
22 43 0.01706 0.001
22 45 0.01672 0.001
22 47 0.01637 0.001
22 49 0.01862 0.001
24 3 0.01496 0.001
24 5 0.01417 0.001
24 7 0.01299 0.001
24 9 0.01417 0.001
24 11 0.01288 0.001
24 13 0.01200 0.001
24 15 0.01225 0.001
24 17 0.01092 0.001
24 19 0.01092 0.001
24 21 0.00886 0.001
24 23 0.00375 0.001
24 24 0.00000 0.001
24 25 0.00241 0.001
24 27 0.00743 0.001
24 29 0.00602 0.001
24 31 0.00679 0.001
24 33 0.00829 0.001
24 35 0.00901 0.001
24 37 0.00984 0.001
24 39 0.01117 0.001
24 41 0.01204 0.001
24 43 0.01220 0.001
24 45 0.01181 0.001
24 47 0.01244 0.001
24 49 0.01511 0.001
26 3 0.01465 0.001
26 5 0.01391 0.001
26 7 0.01300 0.001
26 9 0.01318 0.001
26 11 0.01257 0.001
26 13 0.01141 0.001
26 15 0.01220 0.001
26 17 0.01083 0.001
26 19 0.01111 0.001
26 21 0.01159 0.001
26 23 0.00965 0.001
26 25 0.00166 0.001
26 26 0.00000 0.001
26 27 0.00220 0.001
26 29 0.00551 0.001
26 31 0.00580 0.001
26 33 0.00854 0.001
26 35 0.00870 0.001
26 37 0.00885 0.001
26 39 0.01004 0.001
26 41 0.01166 0.001
26 43 0.01147 0.001
26 45 0.01135 0.001
26 47 0.01153 0.001
26 49 0.01379 0.001
28 3 0.01410 0.001
28 5 0.01338 0.001
28 7 0.01299 0.001
28 9 0.01319 0.001
28 11 0.01195 0.001
28 13 0.01098 0.001
28 15 0.01142 0.001
28 17 0.00968 0.001
28 19 0.01052 0.001
28 21 0.01059 0.001
28 23 0.00909 0.001
28 25 0.00604 0.001
28 27 0.00195 0.001
28 28 0.00000 0.001
28 29 0.00208 0.001
28 31 0.00520 0.001
